------------- NVBit (NVidia Binary Instrumentation Tool v1.5.5) Loaded --------------
NVBit core environment variables (mostly for nvbit-devs):
            NVDISASM = nvdisasm - override default nvdisasm found in PATH
            NOBANNER = 0 - if set, does not print this banner
---------------------------------------------------------------------------------
         INSTR_BEGIN = 0 - Beginning of the instruction interval where to apply instrumentation
           INSTR_END = 4294967295 - End of the instruction interval where to apply instrumentation
        TOOL_VERBOSE = 0 - Enable verbosity inside the tool
----------------------------------------------------------------------------------------------------
byte : 32768
alloc address : 139806607671296, Size : 32768
alloc address : 139806607704064, Size : 32768
alloc address : 139806607736832, Size : 32768
No CUDA error.
MEMTRACE: CTX 0x000055e4486faf10 - LAUNCH - Kernel pc 0x00007f2746fa0f00 - Kernel name vecAdd(float*, float*, float*, int) - grid launch id 1 - grid size 8,1,1 - block size 1024,1,1 - nregs 12 - shmem 0 - cuda stream id 0
No CUDA error.
Final sum = 24576; sum/n = 3 (should be ~1)
No CUDA error.
0x0000000040000000,0x00007f274330c8e4
0x0000000040000000,0x00007f274330c8e8
0x0000000040000000,0x00007f274330c8ec
0x0000000040000000,0x00007f274330c8f0
0x0000000040000000,0x00007f274330c8f4
0x0000000040000000,0x00007f274330c8f8
0x0000000040000000,0x00007f274330c8fc
0x0000000040000000,0x00007f274330fc00
0x0000000040000000,0x00007f274330fc04
0x0000000040000000,0x00007f274330fc08
0x0000000040000000,0x00007f274330fc0c
0x0000000040000000,0x00007f274330fc10
0x0000000040000000,0x00007f274330fc14
0x0000000040000000,0x00007f274330fc18
0x0000000040000000,0x00007f274330fc1c
0x0000000040000000,0x00007f274330fc20
0x0000000040000000,0x00007f274330fc24
0x0000000040000000,0x00007f274330fc28
0x0000000040000000,0x00007f274330fc2c
0x0000000040000000,0x00007f274330fc30
0x0000000040000000,0x00007f274330fc34
0x0000000040000000,0x00007f274330fc38
0x0000000040000000,0x00007f274330fc3c
0x0000000040000000,0x00007f274330fc40
0x0000000040000000,0x00007f274330fc44
0x0000000040000000,0x00007f274330fc48
0x0000000040000000,0x00007f274330fc4c
0x0000000040000000,0x00007f274330fc50
0x0000000040000000,0x00007f274330fc54
0x0000000040000000,0x00007f274330fc58
0x0000000040000000,0x00007f274330fc5c
0x0000000040000000,0x00007f274330fc60
0x0000000040000000,0x00007f274330fc64
0x0000000040000000,0x00007f274330fc68
0x0000000040000000,0x00007f274330fc6c
0x0000000040000000,0x00007f274330fc70
0x0000000040000000,0x00007f274330fc74
0x0000000040000000,0x00007f274330fc78
0x0000000040000000,0x00007f274330fc7c
0x0000000040000000,0x00007f2743308280
0x0000000040000000,0x00007f2743308284
0x0000000040000000,0x00007f2743308288
0x0000000040000000,0x00007f274330828c
0x0000000040000000,0x00007f2743308290
0x0000000040000000,0x00007f2743308294
0x0000000040000000,0x00007f2743308298
0x0000000040000000,0x00007f274330829c
0x0000000040000000,0x00007f27433082a0
0x0000000040000000,0x00007f27433082a4
0x0000000040000000,0x00007f27433082a8
0x0000000040000000,0x00007f27433082ac
0x0000000040000000,0x00007f27433082b0
0x0000000040000000,0x00007f27433082b4
0x0000000040000000,0x00007f27433082b8
0x0000000040000000,0x00007f27433082bc
0x0000000040000000,0x00007f27433082c0
0x0000000040000000,0x00007f27433082c4
0x0000000040000000,0x00007f27433082c8
0x0000000040000000,0x00007f27433082cc
0x0000000040000000,0x00007f27433082d0
0x0000000040000000,0x00007f27433082d4
0x0000000040000000,0x00007f27433082d8
0x0000000040000000,0x00007f27433082dc
0x0000000040000000,0x00007f27433082e0
0x0000000040000000,0x00007f27433082e4
0x0000000040000000,0x00007f27433082e8
0x0000000040000000,0x00007f27433082ec
0x0000000040000000,0x00007f27433082f0
0x0000000040000000,0x00007f27433082f4
0x0000000040000000,0x00007f27433082f8
0x0000000040000000,0x00007f27433082fc
0x0000000040000000,0x00007f2743308f00
0x0000000040000000,0x00007f2743308f04
0x0000000040000000,0x00007f2743308f08
0x0000000040000000,0x00007f2743308f0c
0x0000000040000000,0x00007f2743308f10
0x0000000040000000,0x00007f2743308f14
0x0000000040000000,0x00007f2743308f18
0x0000000040000000,0x00007f2743308f1c
0x0000000040000000,0x00007f2743308f20
0x0000000040000000,0x00007f2743308f24
0x0000000040000000,0x00007f2743308f28
0x0000000040000000,0x00007f2743308f2c
0x0000000040000000,0x00007f2743308f30
0x0000000040000000,0x00007f2743308f34
